2026-05-10 13:41:35,008 | INFO     | scraper | 🔂 Single-run mode (--once)
2026-05-10 13:41:35,057 | INFO     | scraper | ============================================================
2026-05-10 13:41:35,057 | INFO     | scraper | 🕷  Combined scrape cycle started
2026-05-10 13:41:35,058 | INFO     | scraper | ============================================================
2026-05-10 13:41:35,060 | INFO     | scraper | 🌐 Web scrape: pages 1–5
2026-05-10 13:41:35,062 | INFO     | scraper |   📄 Page 1/5
2026-05-10 13:42:00,841 | INFO     | scraper |   [WEB] → https://www.hahu.jobs/jobs?min_yoe=0&max_yoe=100&page=1
2026-05-10 13:42:09,613 | INFO     | scraper | 🔂 Single-run mode (--once)
2026-05-10 13:42:09,617 | INFO     | scraper | ============================================================
2026-05-10 13:42:09,629 | INFO     | scraper | 🕷  Combined scrape cycle started
2026-05-10 13:42:09,629 | INFO     | scraper | ============================================================
2026-05-10 13:42:09,631 | INFO     | scraper | 🌐 Web scrape: pages 1–5
2026-05-10 13:42:09,631 | INFO     | scraper |   📄 Page 1/5
2026-05-10 13:42:10,750 | INFO     | scraper |   [WEB] → https://www.hahu.jobs/jobs?min_yoe=0&max_yoe=100&page=1
2026-05-10 13:42:12,990 | INFO     | scraper |     54 cards found
2026-05-10 13:42:13,087 | INFO     | scraper |     ✅ NEW  : MICE Sales Expert IV
2026-05-10 13:42:13,106 | INFO     | scraper |     ✅ NEW  : Brand Ambassador
2026-05-10 13:42:13,130 | INFO     | scraper |     ✅ NEW  : Tourist Facilities Construction Expert III
2026-05-10 13:42:13,150 | INFO     | scraper |     ✅ NEW  : Tourism Infrastructure Development Officer IV
2026-05-10 13:42:13,170 | INFO     | scraper |     ✅ NEW  : Research and Business Development Officer IV
2026-05-10 13:42:13,208 | INFO     | scraper |     ✅ NEW  : Field Sales Officer
2026-05-10 13:42:13,226 | INFO     | scraper |     ✅ NEW  : Junior Accountant
2026-05-10 13:42:13,254 | INFO     | scraper |     ✅ NEW  : Junior Accountant
2026-05-10 13:42:13,434 | INFO     | scraper |     ✅ NEW  : Receptionist
2026-05-10 13:42:16,044 | INFO     | scraper |   📄 Page 2/5
2026-05-10 13:42:17,098 | INFO     | scraper |   [WEB] → https://www.hahu.jobs/jobs?min_yoe=0&max_yoe=100&page=2
2026-05-10 13:42:23,378 | INFO     | scraper |     54 cards found
2026-05-10 13:42:26,032 | INFO     | scraper |   📄 Page 2/5
2026-05-10 13:42:27,184 | INFO     | scraper |   [WEB] → https://www.hahu.jobs/jobs?min_yoe=0&max_yoe=100&page=2
2026-05-10 13:42:30,575 | INFO     | scraper |     54 cards found
2026-05-10 13:42:30,620 | INFO     | scraper |     ✅ NEW  : Instructor(Researcher and Community Service)
2026-05-10 13:42:30,650 | INFO     | scraper |     ✅ NEW  : Accountant
2026-05-10 13:42:30,676 | INFO     | scraper |     ✅ NEW  : Administrative Secretary
2026-05-10 13:42:30,751 | INFO     | scraper |     ✅ NEW  : Sales & Marketing Officer
2026-05-10 13:42:30,798 | INFO     | scraper |     ✅ NEW  : Senior Video Editor
2026-05-10 13:42:33,247 | INFO     | scraper |   📄 Page 3/5
2026-05-10 13:42:34,248 | INFO     | scraper |   [WEB] → https://www.hahu.jobs/jobs?min_yoe=0&max_yoe=100&page=3
2026-05-10 13:42:40,498 | INFO     | scraper |     54 cards found
2026-05-10 13:42:43,183 | INFO     | scraper |   📄 Page 3/5
2026-05-10 13:42:44,298 | INFO     | scraper |   [WEB] → https://www.hahu.jobs/jobs?min_yoe=0&max_yoe=100&page=3
2026-05-10 13:42:48,856 | INFO     | scraper |     54 cards found
2026-05-10 13:42:48,873 | INFO     | scraper |     ✅ NEW  : Store Keeper
2026-05-10 13:42:48,895 | INFO     | scraper |     ✅ NEW  : Marketing Officer
2026-05-10 13:42:48,923 | INFO     | scraper |     ✅ NEW  : Junior Sales Officer
2026-05-10 13:42:48,950 | INFO     | scraper |     ✅ NEW  : Construction Materials Sales and Operations Manager
2026-05-10 13:42:48,969 | INFO     | scraper |     ✅ NEW  : Medical Import & Distribution Manager (Pharmacist)
2026-05-10 13:42:49,015 | INFO     | scraper |     ✅ NEW  : International Trade Officer
2026-05-10 13:42:49,034 | INFO     | scraper |     ✅ NEW  : Professor
2026-05-10 13:42:49,054 | INFO     | scraper |     ✅ NEW  : Plant Coordinator ( Vacancy Code- Hahu 002/2026)
2026-05-10 13:42:49,075 | INFO     | scraper |     ✅ NEW  : Nurse IV
2026-05-10 13:42:49,092 | INFO     | scraper |     ✅ NEW  : Assistant/ Associate Professor
2026-05-10 13:42:49,128 | INFO     | scraper |     ✅ NEW  : Invoice Verification Specialist III
2026-05-10 13:42:49,146 | INFO     | scraper |     ✅ NEW  : Professional Nurse II
2026-05-10 13:42:49,167 | INFO     | scraper |     ✅ NEW  : Nurse II
2026-05-10 13:42:49,186 | INFO     | scraper |     ✅ NEW  : Quality Assurance Section Head
2026-05-10 13:42:49,205 | INFO     | scraper |     ✅ NEW  : Nurse III
2026-05-10 13:42:49,252 | INFO     | scraper |     ✅ NEW  : Assistant Professor
2026-05-10 13:42:49,270 | INFO     | scraper |     ✅ NEW  : Sewerage Line Installation and Maintenance Worker
2026-05-10 13:42:49,290 | INFO     | scraper |     ✅ NEW  : Driver
2026-05-10 13:42:49,308 | INFO     | scraper |     ✅ NEW  : Pharmacy Technician IV
2026-05-10 13:42:49,331 | INFO     | scraper |     ✅ NEW  : Senior Cost Accountant
2026-05-10 13:42:49,354 | INFO     | scraper |     ✅ NEW  : Motorist
